recommendation_date,rank,stock_code,stock_name,sector,reference_price,entry_type,entry_low,entry_high,stop_price,target1,target2,holding_period,score,selection_reason,key_risks,rules_version,report_file
2026-08-24,2,1605,INPEX,鉱業,3954,押し目反発確認,3750,3820,3680,4100,4250,5〜15営業日（9月14日引けまで）,81,"上期最高益、通期上方修正、増配、自社株買い、原油高、鉱業の相対強度を評価","原油・LNG価格、円高、中東情勢、販売制約、プロジェクト遅延、信用買い長、25日線乖離",v0.1.1,reports/screening/2026-08-24.md
2026-08-24,3,2914,日本たばこ産業,食料品,6980,押し目反発確認,6840,6910,6720,7220,7450,5〜15営業日（9月14日引けまで）,79,"上期大幅増益、通期上方修正、増配、Ploom販売拡大、信用買い残減少を評価","たばこ規制・訴訟、為替、原材料・物流費、カナダ事業、決算後上昇の反動",v0.1.1,reports/screening/2026-08-24.md
2026-08-24,4,4502,武田薬品工業,医薬品,5764,押し目反発確認,5550,5630,5470,5900,6100,5〜15営業日（9月14日引けまで）,76,"医薬品の相対強度、全移動平均上、信用倍率1.13倍、通期予想・配当維持を評価","コア利益停滞、FCF減少、特許切れ、研究開発・承認失敗、為替、訴訟、高PER",v0.1.1,reports/screening/2026-08-24.md
2026-08-31,1,6702,富士通,電気機器,3904,押し目反発確認,3680,3740,3580,3980,4150,5〜14営業日（9月18日引けまで）,82,"Q1営業利益+56.9%、電気機器の相対強度、出来高増、自社株買いを評価","信用買い長、高PER・PBR、米金利とSOX下落、公共大型案件の反動、部品調達、サイバー事故",v0.1.1,reports/screening/2026-08-31.md
2026-08-31,2,6301,コマツ,機械,7538,押し目反発確認,7200,7280,7080,7650,7900,5〜14営業日（9月18日引けまで）,81,"Q1増収増益、通期上方修正、機械の相対強度、信用倍率4.77倍を評価","円高、中東情勢、米国関税、建機需要、原材料・物流費、営業利益率低下、戻り売り",v0.1.1,reports/screening/2026-08-31.md
2026-08-31,3,8411,みずほフィナンシャルグループ,銀行業,8486,押し目反発確認,8100,8230,7900,8810,9150,5〜14営業日（9月18日引けまで）,80,"Q1大幅増益、通期上方修正、合計2000億円の自己株買い、銀行業+4.47%を評価","信用買い急増、金利反転、国債評価損、与信費用、規制、銀行株集中、年初来高値の戻り売り",v0.1.1,reports/screening/2026-08-31.md
2026-09-07,1,9433,KDDI,情報・通信,2981,押し目反発確認,2900,2940,2840,3120,3250,5〜14営業日（9月25日引けまで）,84,"Q1全セグメント増収・調整後営業利益21.1%増、情報通信の相対強度、信用倍率0.98倍、自己株買い継続を評価","国内金利上昇、料金競争、設備投資、情報セキュリティ、内部統制、3020〜3121円の戻り売り",v0.1.1,reports/screening/2026-09-07.md
2026-09-07,2,8053,住友商事,卸売業,1820,押し目反発確認,1740,1780,1680,1940,2050,5〜14営業日（9月25日引けまで）,82,"Q1最終利益11.2%増、通期進捗30.2%、卸売業の相対強度、800億円の自己株買い完了と全数消却予定を評価","自己株買い終了後の需給、資源価格、円高、中国景気、地政学、信用買い長、1870〜1944円の戻り売り",v0.1.1,reports/screening/2026-09-07.md
2026-09-07,3,8766,東京海上ホールディングス,保険業,7976,押し目反発確認,7600,7700,7420,8200,8460,5〜14営業日（9月25日引けまで）,79,"Q1利益増、通期修正純利益9500億円・増配予想、保険業の相対強度、15分割と株主優待導入を評価","信用倍率20.45倍、自然災害、海外保険損失、為替・金利、分割前後の需給変動、8468円の戻り売り",v0.1.1,reports/screening/2026-09-07.md
2026-09-14,1,8058,三菱商事,卸売業,5005,押し目反発確認,4800,4920,4680,5320,5600,5〜14営業日（10月7日引けまで）,82,"Q1親会社利益47%増、通期進捗27.1%、卸売業の相対強度、全移動平均線上を評価","資源価格急反落、円高、中国景気、地政学、信用倍率7.01倍、5123円近辺の戻り売り、日米金融政策会合",v0.1.1,reports/screening/2026-09-14.md
